Sample	Associatednumber	DNA_concentration_ng.uL	Station	StationNumber	Stromkilometer	Sample_type	Sample_date	Sat_O2_Perc	Temperature_TBDHereon	Salinity_PSU	Turbidity_NTU	pH	O2_uM	SPM_mgperL	DOC_mg.L	TN_mg.L	DIC_mg.L	Silicate_mg.L	Ammonium_mg.L	Nitrite_mg.L	Nitrate_mg.L	Total_DIN_uM	SRP_mgperL	TotalDissolvedPhosphate_mg.L	Ammonium_uM	Nitrite_uM	Nitrate_uM	SRP_uM	Phosphate_uM	Silicate_uM	DOC_uM/L	DIC_uM/L	RespirationRate_O2ug.L.h	POC_mgperL	PTC_mgperL	PTN_mgperL	PTH_mgperL	AccessionNumber_TBDSven
SchH1	93	15	Schwarztonnensand	4	665	Heavy_fraction	Feb 22	89.53	5.7669156	0.413464533	51.6223434	NA	349.05	66.4	10.14	3.883	22.63	4.694	0.042	0.033	2.958		0.046	0.048012							844.2472129	1884.153297	-1.704086412	9.291626963	11.66681936	3.495529112	2.35653648	
SchH2	94	24	Schwarztonnensand	4	665	Heavy_fraction	Feb 22	89.53	5.7669156	0.413464533	51.6223434	NA	349.05	66.4	9.698	3.777	20.07	4.691	0.04	0.033	2.926		0.044	0.052851							807.4466934	1671.010016		9.483095552	11.45374918	4.381194072	2.35653648	
SchF1	95	1.17	Schwarztonnensand	4	665	Free_living	Feb 22	89.53	5.7669156	0.413464533	51.6223434	NA	349.05		10.14	3.883	22.63	4.694	0.042	0.033	2.958		0.046	0.048012							844.2472129	1884.153297						
SchF2	96	4.53	Schwarztonnensand	4	665	Free_living	Feb 22	89.53	5.7669156	0.413464533	51.6223434	NA	349.05		9.698	3.777	20.07	4.691	0.04	0.033	2.926		0.044	0.052851							807.4466934	1671.010016						
MGL1	97	46	Meedem Grund	6	712	Light_fraction	Feb 22	91.03	5.5527025	2.7088208	172.2805376	NA	351.52	176.6666667	9.273	3.18	22.42	4.552	0.037	0.006	1.949		0.052	0.044825							772.0615784	1866.668887	12.04666991	11.51953583	14.94436884	4.22212786	3.73118276	
MGL2	99	21	Meedem Grund	6	712	Light_fraction	Feb 22	91.03	5.5527025	2.7088208	172.2805376	NA	351.52	176.6666667	9.718	3.36	23.47	4.792	0.012	0.007	2.047		0.054	0.040838							809.1118752	1954.090936		11.56666656	14.37683631	4.286932613	3.73118276	
MGH1	98	0.545	Meedem Grund	6	712	Heavy_fraction	Feb 22	91.03	5.5527025	2.7088208	172.2805376	NA	351.52	288.6666667	9.273	3.18	22.42	4.552	0.037	0.006	1.949		0.052	0.044825							772.0615784	1866.668887	3.39284916	19.36091096	24.57082036	5.266859033	5.98953022	
MGH2	100	41	Meedem Grund	6	712	Heavy_fraction	Feb 22	91.03	5.5527025	2.7088208	172.2805376	NA	351.52	288.6666667	9.718	3.36	23.47	4.792	0.012	0.007	2.047		0.054	0.040838							809.1118752	1954.090936		19.42277005	25.49968849	4.701290278	6.67685336	
MGF1	101	44	Meedem Grund	6	712	Free_living	Feb 22	91.03	5.5527025	2.7088208	172.2805376	NA	351.52		9.273	3.18	22.42	4.552	0.037	0.006	1.949		0.052	0.044825							772.0615784	1866.668887						
MGF2	102	0.341	Meedem Grund	6	712	Free_living	Feb 22	91.03	5.5527025	2.7088208	172.2805376	NA	351.52		9.718	3.36	23.47	4.792	0.012	0.007	2.047		0.054	0.040838							809.1118752	1954.090936						
TL1	103	23	Twielenfleth	3	651	Light_fraction	Feb 22	89.83	5.740866882	0.378776	61.70299606	NA	350.55	64	10.33	4.042	22.33	4.501	0.085	0.033	2.989		0.045	0.049112							860.0664408	1859.175568	16.8695541	10.29217308	12.32272201	2.579425555	2.55291452	
TL2	104	48	Twielenfleth	3	651	Light_fraction	Feb 22	89.83	5.740866882	0.378776	61.70299606	NA	350.55	64	10.49	3.883	20.86	4.994	0.088	0.033	2.987		0.038	0.045601							873.3878958	1736.7847		10.54353697	12.47000554	3.943271043	2.65110354	
TH1	105	0.532	Twielenfleth	3	651	Heavy_fraction	Feb 22	89.83	5.740866882	0.378776	61.70299606	NA	350.55	111.2	10.33	4.042	22.33	4.501	0.085	0.033	2.989		0.045	0.049112							860.0664408	1859.175568	16.67108698	15.99891892	19.95593642	4.81322576	3.63299374	
TH2	106	29	Twielenfleth	3	651	Heavy_fraction	Feb 22	89.83	5.740866882	0.378776	61.70299606	NA	350.55	111.2	10.49	3.883	20.86	4.994	0.088	0.033	2.987		0.038	0.045601							873.3878958	1736.7847		16.25617415	20.00404904	4.748421007	3.9275608	
TF1	107	0.109	Twielenfleth	3	651	Free_living	Feb 22	89.83	5.740866882	0.378776	61.70299606	NA	350.55		10.33	4.042	22.33	4.501	0.085	0.033	2.989		0.045	0.049112							860.0664408	1859.175568						
TF2	108	44	Twielenfleth	3	651	Free_living	Feb 22	89.83	5.740866882	0.378776	61.70299606	NA	350.55		10.49	3.883	20.86	4.994	0.088	0.033	2.987		0.038	0.045601							873.3878958	1736.7847						
BbL1	109	200	Brunsbuttel	5	694	Light_fraction	Feb 22	89.63	5.616714588	0.787451824	101.3379107	NA	349.95	96.8	10.75	3.696	23.1	4.833	0.034	0.011	2.597		0.05	0.045564							895.0352602	1923.285071	-2.382044857	12.14892744	15.09459804	4.17401524	3.63299374	
BbL2	110	35	Brunsbuttel	5	694	Light_fraction	Feb 22	89.63	5.616714588	0.787451824	101.3379107	NA	349.95	96.8	10.77	3.687	24.18		0.037	0.011	2.571		0.048	0.048926							896.7004421	2013.204892		12.313885	15.02193817	4.572662661	3.73118276	
BbH1	111	20	Brunsbuttel	5	694	Heavy_fraction	Feb 22	89.63	5.616714588	0.787451824	101.3379107	NA	349.95	82.8	10.75	3.696	23.1	4.833	0.034	0.011	2.597		0.05	0.045564							895.0352602	1923.285071	27.75704443	10.27548094	12.78519229	3.575062218	2.9456706	
BbH2	112	29	Brunsbuttel	5	694	Heavy_fraction	Feb 22	89.63	5.616714588	0.787451824	101.3379107	NA	349.95	82.8	10.77	3.687	24.18		0.037	0.011	2.571		0.048	0.048926							896.7004421	2013.204892		10.15470845	12.9246207	2.765984693	2.9456706	
BbF1	113	0.0276	Brunsbuttel	5	694	Free_living	Feb 22	89.63	5.616714588	0.787451824	101.3379107	NA	349.95		10.75	3.696	23.1	4.833	0.034	0.011	2.597		0.05	0.045564							895.0352602	1923.285071						
BbF2	114	0.182	Brunsbuttel	5	694	Free_living	Feb 22	89.63	5.616714588	0.787451824	101.3379107	NA	349.95		10.77	3.687	24.18		0.037	0.011	2.571		0.048	0.048926							896.7004421	2013.204892						
ML1	117	31	Muhlenberger Loch	2	633	Light_fraction	May 22	66.2	18.75076923	0.437	35.035571	7.505	192.075	68	7.714	1.784	11.08	0.327	0.04	0.008	1.008		0.069	0.036386							642.2606509	922.5107612	6.716418768	2.838644568	3.266748695	2.705107501	0.88370118	
ML2	118	18	Muhlenberger Loch	2	633	Light_fraction	May 22	66.2	18.75076923	0.437	35.035571	7.505	192.075	68	7.434	2	11.27		0.039	0.008	1.024		0.069	0.037119							618.9481046	938.3299891		2.841590239	3.23827388	2.413486112	0.68732314	
MH1	119	76	Muhlenberger Loch	2	633	Heavy_fraction	May 22	66.2	18.75076923	0.437	35.035571	7.505	192.075	245	7.714	1.784	11.08	0.327	0.04	0.008	1.008		0.069	0.036386							642.2606509	922.5107612	13.30809685	8.076046895	10.3000282	3.428760578	1.86559138	
MH2	120	24	Muhlenberger Loch	2	633	Heavy_fraction	May 22	66.2	18.75076923	0.437	35.035571	7.505	192.075	245	7.434	2	11.27		0.039	0.008	1.024		0.069	0.037119							618.9481046	938.3299891		8.239040668	9.779626392	4.395922425	1.66921334	
MF1	121	5	Muhlenberger Loch	2	633	Free_living	May 22	66.2	18.75076923	0.437	35.035571	7.505	192.075		7.714	1.784	11.08	0.327	0.04	0.008	1.008		0.069	0.036386							642.2606509	922.5107612						
MF2	122	9.6	Muhlenberger Loch	2	633	Free_living	May 22	66.2	18.75076923	0.437	35.035571	7.505	192.075		7.434	2	11.27		0.039	0.008	1.024		0.069	0.037119							618.9481046	938.3299891						
SchL1	123	9.1	Schwarztonnensand	4	665	Light_fraction	May 22	88.836	17.03593103	0.86731034	14.963854	7.795	266.348	39.6	7.286	2.711	11.02	1.184	0.009	0	1.79		0.033	0.042913							606.6257587	917.5152156	6.975291034	3.427778688	4.182852252	2.524439704	0.88370118	
SchL2	124	13	Schwarztonnensand	4	665	Light_fraction	May 22	88.836	17.03593103	0.86731034	14.963854	7.795	266.348	39.6			10.9		0.01	0	1.788		0.033	0.043281							0	907.5241243		3.380647959	4.583463454	1.631901512	0.68732314	
SchH1	125	28	Schwarztonnensand	4	665	Heavy_fraction	May 22	88.836	17.03593103	0.86731034	14.963854	7.795	266.348	45.2	7.286	2.711	11.02	1.184	0.009	0	1.79		0.033	0.042913							606.6257587	917.5152156	-12.81774594	4.597209916	6.246785452	3.351191253	0.9818902	
SchH2	126	10	Schwarztonnensand	4	665	Heavy_fraction	May 22	88.836	17.03593103	0.86731034	14.963854	7.795	266.348	45.2			10.9		0.01	0	1.788		0.033	0.043281							0	907.5241243		4.444035045	5.812789984	3.24121955	0.9818902	
SchF1	127	0.61	Schwarztonnensand	4	665	Free_living	May 22	88.836	17.03593103	0.86731034	14.963854	7.795	266.348		7.286	2.711	11.02	1.184	0.009	0	1.79		0.033	0.042913							606.6257587	917.5152156						
SchF2	128	2.52	Schwarztonnensand	4	665	Free_living	May 22	88.836	17.03593103	0.86731034	14.963854	7.795	266.348				10.9		0.01	0	1.788		0.033	0.043281							0	907.5241243						
MGL1	129	16	Meedem Grund	6	712	Light_fraction	May 22	97.636	16.2450566	10.89583019	12.738928	7.9805	280.073	31.6	8.531	2.461	17.84	0.732	0.015	0.002	1.075		0.055	0.042637							710.2833307	1485.342237	5.60566581	3.662450446	4.56677132	2.674668905	0.58913412	
MGL2	130	13	Meedem Grund	6	712	Light_fraction	May 22	97.636	16.2450566	10.89583019	12.738928	7.9805	280.073	31.6			20.58		0.014	0.003	1.072		0.055	0.043117							0	1713.472154		3.544623622	4.456799618	3.028149377	0.58913412	
MGH1	131	46	Meedem Grund	6	712	Heavy_fraction	May 22	97.636	16.2450566	10.89583019	12.738928	7.9805	280.073	47.6	8.531	2.461	17.84	0.732	0.015	0.002	1.075		0.055	0.042637							710.2833307	1485.342237	2.490697712	4.561861869	5.733256878	2.411522331	0.68732314	
MGH2	132	20	Meedem Grund	6	712	Heavy_fraction	May 22	97.636	16.2450566	10.89583019	12.738928	7.9805	280.073	47.6			20.58		0.014	0.003	1.072		0.055	0.043117							0	1713.472154		4.22212786	6.097538142	3.109646263	0.78551216	
MGF1	133	4.91	Meedem Grund	6	712	Free_living	May 22	97.636	16.2450566	10.89583019	12.738928	7.9805	280.073		8.531	2.461	17.84	0.732	0.015	0.002	1.075		0.055	0.042637							710.2833307	1485.342237						
MGF2	134	4.2	Meedem Grund	6	712	Free_living	May 22	97.636	16.2450566	10.89583019	12.738928	7.9805	280.073				20.58		0.014	0.003	1.072		0.055	0.043117							0	1713.472154						
TL1	135	6.3	Twielenfleth	3	651	Light_fraction	May 22	75.426	17.92304082	0.56295918	17.591418	7.6295	222.421	57	7.219	2.45	10.56	0.619	0.015	0	1.653		0.033	0.038696							601.0473994	879.2160324	3.791206383	3.962908847	5.20499995	3.177396687	0.88370118	
TL2	136	18	Twielenfleth	3	651	Light_fraction	May 22	75.426	17.92304082	0.56295918	17.591418	7.6295	222.421	57			10.51		0.018	0	1.669		0.033	0.039209							0	875.0530777		3.697798493	5.025314044	3.415014116	0.78551216	
TH1	137	27	Twielenfleth	3	651	Heavy_fraction	May 22	75.426	17.92304082	0.56295918	17.591418	7.6295	222.421	107	7.219	2.45	10.56	0.619	0.015	0	1.653		0.033	0.038696							601.0473994	879.2160324	0.314036257	7.148160656	9.289663182	3.356100704	1.37464628	
TH2	138	15	Twielenfleth	3	651	Heavy_fraction	May 22	75.426	17.92304082	0.56295918	17.591418	7.6295	222.421	107			10.51		0.018	0	1.669		0.033	0.039209							0	875.0530777		7.622413623	9.057937095	3.363955825	1.37464628	
TF1	139	1.74	Twielenfleth	3	651	Free_living	May 22	75.426	17.92304082	0.56295918	17.591418	7.6295	222.421		7.219	2.45	10.56	0.619	0.015	0	1.653		0.033	0.038696							601.0473994	879.2160324						
TF2	140	2.56	Twielenfleth	3	651	Free_living	May 22	75.426	17.92304082	0.56295918	17.591418	7.6295	222.421				10.51		0.018	0	1.669		0.033	0.039209							0	875.0530777						
BbL1	141	4.51	Brunsbuttel	5	694	Light_fraction	May 22	96.442	16.47231034	4.65363793	11.035612	7.905	285.963	25.6	6.381	2.075	11.27	0.993	0.011	0.003	1.685		0.043	0.054151							531.2762787	938.3299891	-12.66060238	2.727690976	3.293259731	2.145430087	0.4909451	
BbL2	142	12	Brunsbuttel	5	694	Light_fraction	May 22	96.442	16.47231034	4.65363793	11.035612	7.905	285.963	25.6			12.6		0.009	0.003	1.75		0.043	0.052967							0	1049.064584		2.421341233	3.286386499	2.899521761	0.4909451	
BbH1	143	8.8	Brunsbuttel	5	694	Heavy_fraction	May 22	96.442	16.47231034	4.65363793	11.035612	7.905	285.963	30.4	6.381	2.075	11.27	0.993	0.011	0.003	1.685		0.043	0.054151							531.2762787	938.3299891	-3.248513598	2.774821705	3.931488361	2.168013562	0.58913412	
BbH2	144	7.9	Brunsbuttel	5	694	Heavy_fraction	May 22	96.442	16.47231034	4.65363793	11.035612	7.905	285.963	30.4			12.6		0.009	0.003	1.75		0.043	0.052967							0	1049.064584		3.006547792	3.539714171	1.312787197	0.58913412	
BbF1	145	3.38	Brunsbuttel	5	694	Free_living	May 22	96.442	16.47231034	4.65363793	11.035612	7.905	285.963		6.381	2.075	11.27	0.993	0.011	0.003	1.685		0.043	0.054151							531.2762787	938.3299891						
BbF2	146	1.44	Brunsbuttel	5	694	Free_living	May 22	96.442	16.47231034	4.65363793	11.035612	7.905	285.963				12.6		0.009	0.003	1.75		0.043	0.052967							0	1049.064584						
ML1	147	33	Muhlenberger Loch	2	633	Light_fraction	Jun 22	37.858	20.54698597	0.511063514	16.87997576	7.334054054	105.907	62	7.583	1.447	12.1	0.557	0.11	0.034	0.898		0.049	0.052811							631.3537096	1007.435037	16.1613372	5.69299938	6.661143117	2.697252379	1.17826824	
ML2	148	12	Muhlenberger Loch	2	633	Light_fraction	Jun 22	37.858	20.54698597	0.511063514	16.87997576	7.334054054	105.907	62			11.72		0.107	0.034	0.904		0.049	0.053796							0	975.7965814		5.553570971	6.889923533	2.827843776	0.9818902	
MH1	149	95	Muhlenberger Loch	2	633	Heavy_fraction	Jun 22	37.858	20.54698597	0.511063514	16.87997576	7.334054054	105.907	118	7.583	1.447	12.1	0.557	0.11	0.034	0.898		0.049	0.052811							631.3537096	1007.435037	28.8488668	11.5126626	14.67925849	3.675215019	2.06196942	
MH2	150	27	Muhlenberger Loch	2	633	Heavy_fraction	Jun 22	37.858	20.54698597	0.511063514	16.87997576	7.334054054	105.907	118			11.72		0.107	0.034	0.904		0.049	0.053796							0	975.7965814		12.17052903	14.40236545	4.02673171	2.25834746	
MF1	151	5.9	Muhlenberger Loch	2	633	Free_living	Jun 22	37.858	20.54698597	0.511063514	16.87997576	7.334054054	105.907		7.583	1.447	12.1	0.557	0.11	0.034	0.898		0.049	0.052811							631.3537096	1007.435037						
MF2	152	12	Muhlenberger Loch	2	633	Free_living	Jun 22	37.858	20.54698597	0.511063514	16.87997576	7.334054054	105.907				11.72		0.107	0.034	0.904		0.049	0.053796							0	975.7965814						
SchL1	153	59	Schwarztonnensand	4	665	Light_fraction	Jun 22	86.538	19.26912961	0.686684484	39.82831781	7.68266129	248.09	151.5	6.529	1.936	10.46	0.654	0.01	0	1.122		0.046	0.051029							543.5986246	870.890123	-1.064320392	11.36930663	14.72638922	1.845953576	2.4547255	
SchL2	154	29	Schwarztonnensand	4	665	Light_fraction	Jun 22	86.538	19.26912961	0.686684484	39.82831781	7.68266129	248.09	151.5			10.39		0.011	0	1.111		0.046	0.051004							0	865.0619864		11.36046961	14.6880955	3.053678522	2.4547255	
SchH1	155	52	Schwarztonnensand	4	665	Heavy_fraction	Jun 22	86.538	19.26912961	0.686684484	39.82831781	7.68266129	248.09	393	6.529	1.936	10.46	0.654	0.01	0	1.122		0.046	0.051029							543.5986246	870.890123	15.04650129	28.35993465	37.15472517	5.599719811	6.57866434	
SchH2	156	45	Schwarztonnensand	4	665	Heavy_fraction	Jun 22	86.538	19.26912961	0.686684484	39.82831781	7.68266129	248.09	393			10.39		0.011	0	1.111		0.046	0.051004							0	865.0619864		28.31182203	35.94110888	5.707727733	6.28409728	
SchF1	157	0.625	Schwarztonnensand	4	665	Free_living	Jun 22	86.538	19.26912961	0.686684484	39.82831781	7.68266129	248.09		6.529	1.936	10.46	0.654	0.01	0	1.122		0.046	0.051029							543.5986246	870.890123						
SchF2	158	2.01	Schwarztonnensand	4	665	Free_living	Jun 22	86.538	19.26912961	0.686684484	39.82831781	7.68266129	248.09				10.39		0.011	0	1.111		0.046	0.051004							0	865.0619864						
MGL1	159	26	Meedem Grund	6	712	Light_fraction	Jun 22	103.539	18.03876704	19.96339061	6.252307913	8.028326087	271.177	17	5.01	1.108	15.73	0.065	0.002	0	0.217		0.028	0.037702							417.1280608	1309.665548	42.02095375	3.467054296	4.375302731	3.078225777	0.58913412	
MGL2	160	11	Meedem Grund	6	712	Light_fraction	Jun 22	103.539	18.03876704	19.96339061	6.252307913	8.028326087	271.177	17			15.32		0.003	0	0.22		0.023	0.037465							0	1275.52932		3.492583441	4.157323107	2.826861886	0.58913412	
MGH1	161	39	Meedem Grund	6	712	Heavy_fraction	Jun 22	103.539	18.03876704	19.96339061	6.252307913	8.028326087	271.177	34	5.01	1.108	15.73	0.065	0.002	0	0.217		0.028	0.037702							417.1280608	1309.665548	13.06044	6.404869775	7.819773553	2.241655327	0.78551216	
MGH2	162	45	Meedem Grund	6	712	Heavy_fraction	Jun 22	103.539	18.03876704	19.96339061	6.252307913	8.028326087	271.177	34			15.32		0.003	0	0.22		0.023	0.037465							0	1275.52932		7.150124436	7.280715833	3.839190682	0.78551216	
MGF1	163	21	Meedem Grund	6	712	Free_living	Jun 22	103.539	18.03876704	19.96339061	6.252307913	8.028326087	271.177		5.01	1.108	15.73	0.065	0.002	0	0.217		0.028	0.037702							417.1280608	1309.665548						
MGF2	164	3.46	Meedem Grund	6	712	Free_living	Jun 22	103.539	18.03876704	19.96339061	6.252307913	8.028326087	271.177				15.32		0.003	0	0.22		0.023	0.037465							0	1275.52932						
TL1	165	42	Twielenfleth	3	651	Light_fraction	Jun 22	58.882	20.0744626	0.50906	16.62634368	7.4649	166.274	56.5	6.656	1.497	9.975	0.587	0.01	0	0.741		0.037	0.049912							554.1725295	830.5094624	12.52293156	4.680670583	5.567317434	2.622628724	0.9818902	
TL2	166	33	Twielenfleth	3	651	Light_fraction	Jun 22	58.882	20.0744626	0.50906	16.62634368	7.4649	166.274	56.5	6.367	1.442	10.03		0.01	0	0.764		0.038	0.050524							530.1106513	835.0887126		4.438143704	5.651759991	1.76936614	0.88370118	
TH1	167	10	Twielenfleth	3	651	Heavy_fraction	Jun 22	58.882	20.0744626	0.50906	16.62634368	7.4649	166.274	83.5	6.656	1.497	9.975	0.587	0.01	0	0.741		0.037	0.049912							554.1725295	830.5094624	8.115116036	6.766205368	8.697583392	1.885229184	1.17826824	
TH2	168	37	Twielenfleth	3	651	Heavy_fraction	Jun 22	58.882	20.0744626	0.50906	16.62634368	7.4649	166.274	83.5	6.367	1.442	10.03		0.01	0	0.764		0.038	0.050524							530.1106513	835.0887126		6.450036724	8.809518874	1.643684195	1.27645726	
TF1	169	0.011	Twielenfleth	3	651	Free_living	Jun 22	58.882	20.0744626	0.50906	16.62634368	7.4649	166.274		6.656	1.497	9.975	0.587	0.01	0	0.741		0.037	0.049912							554.1725295	830.5094624						
TF2	170	2.59	Twielenfleth	3	651	Free_living	Jun 22	58.882	20.0744626	0.50906	16.62634368	7.4649	166.274		6.367	1.442	10.03		0.01	0	0.764		0.038	0.050524							530.1106513	835.0887126						
BbL1	171	18	Brunsbuttel	5	694	Light_fraction	Jun 22	95.267	18.61050493	9.828926207	12.32557134	7.849155172	262.099	50.25	6.509	1.808	13.64	0.423	0.007	0	0.561		0.033	0.042533							541.9334427	1135.654042	8.20908	6.967492859	9.334830131	3.560333865	1.76740236	
BbL2	172	28	Brunsbuttel	5	694	Light_fraction	Jun 22	95.267	18.61050493	9.828926207	12.32557134	7.849155172	262.099	50.25			13.56		0.007	0	0.59		0.033	0.040536							0	1128.993314		6.771114819	9.17969148	2.94370682	1.4728353	
BbH1	173	32	Brunsbuttel	5	694	Heavy_fraction	Jun 22	95.267	18.61050493	9.828926207	12.32557134	7.849155172	262.099	35.5	6.509	1.808	13.64	0.423	0.007	0	0.561		0.033	0.042533							541.9334427	1135.654042	11.7179779	5.230529095	7.06862755	3.066443095	1.08007922	
BbH2	174	18	Brunsbuttel	5	694	Heavy_fraction	Jun 22	95.267	18.61050493	9.828926207	12.32557134	7.849155172	262.099	35.5			13.56		0.007	0	0.59		0.033	0.040536							0	1128.993314		5.369957504	6.830028231	2.667795673	0.9818902	
BbF1	175	17	Brunsbuttel	5	694	Free_living	Jun 22	95.267	18.61050493	9.828926207	12.32557134	7.849155172	262.099		6.509	1.808	13.64	0.423	0.007	0	0.561		0.033	0.042533							541.9334427	1135.654042						
BbF2	176	11	Brunsbuttel	5	694	Free_living	Jun 22	95.267	18.61050493	9.828926207	12.32557134	7.849155172	262.099				13.56		0.007	0	0.59		0.033	0.040536							0	1128.993314						
ML1	177	103	Muhlenberger Loch	2	633	Light_fraction	Nov 22	79.474	12.811	0.482	12.111	7.573	261.742	20	5.712	1.562	12.48	1.865	0.065	0.013	0.716		0.051	69.621							475.5759448	1039.073493	9.4046683	1.395265974	1.153720985	2.125792283	0.58913412	
ML2	178	19	Muhlenberger Loch	2	633	Light_fraction	Nov 22	79.474	12.811	0.482	12.111	7.573	261.742	20																	0	0		1.456143167	1.07811544	2.607900371	0.39275608	
MH1	179	102	Muhlenberger Loch	2	633	Heavy_fraction	Nov 22	79.474	12.811	0.482	12.111	7.573	261.742	29	5.712	1.562	12.48	1.865	0.065	0.013	0.716		0.051	69.621							475.5759448	1039.073493	6.110053459	1.595571575	1.869518941	2.586298787	0.39275608	
MH2	180	4.01	Muhlenberger Loch	2	633	Heavy_fraction	Nov 22	79.474	12.811	0.482	12.111	7.573	261.742	29																	0	0		1.536658163	1.711434619	1.992255216	0.39275608	
MF1	181	70	Muhlenberger Loch	2	633	Free_living	Nov 22	79.474	12.811	0.482	12.111	7.573	261.742		5.712	1.562	12.48	1.865	0.065	0.013	0.716		0.051	69.621							475.5759448	1039.073493						
MF2	182	76	Muhlenberger Loch	2	633	Free_living	Nov 22	79.474	12.811	0.482	12.111	7.573	261.742																		0	0						
SchL1	183	167	Schwarztonnensand	4	665	Light_fraction	Nov 22	92.753	12.686	0.814	42.444	7.834	305.706	86	7.057	2.999	17.03	2.53	0.021	0.002	1.662		0.052	69.39							587.5594262	1417.90237	7.741102767	2.885775298	3.899085984	2.445888488	0.88370118	
SchL2	184	38	Schwarztonnensand	4	665	Light_fraction	Nov 22	92.753	12.686	0.814	42.444	7.834	305.706	86																	0	0		2.89853987	3.728237089	0.830679109	0.68732314	
SchH1	185	170	Schwarztonnensand	4	665	Heavy_fraction	Nov 22	92.753	12.686	0.814	42.444	7.834	305.706	185	7.057	2.999	17.03	2.53	0.021	0.002	1.662		0.052	69.39							587.5594262	1417.90237	-8.615742763	5.417088233	7.247331566	1.776239372	0.9818902	
SchH2	186	173	Schwarztonnensand	4	665	Heavy_fraction	Nov 22	92.753	12.686	0.814	42.444	7.834	305.706	185																	0	0		5.299261409	7.65776167	3.610410265	1.17826824	
SchF1	187	0.279	Schwarztonnensand	4	665	Free_living	Nov 22	92.753	12.686	0.814	42.444	7.834	305.706		7.057	2.999	17.03	2.53	0.021	0.002	1.662		0.052	69.39							587.5594262	1417.90237						
SchF2	188	0.0755	Schwarztonnensand	4	665	Free_living	Nov 22	92.753	12.686	0.814	42.444	7.834	305.706																		0	0						
MGL1	189	8.5	Meedem Grund	6	712	Light_fraction	Nov 22	97.38	12.402	12.043	9.134	7.93	301.152	19	3.407	1.054	11.49	0.634	0.059	0.01	0.463		0.04	56.125							283.6637332	956.6469898	0.1277006	0.741327101	0.877809839	2.186669475	0.39275608	
MGL2	190	3.02	Meedem Grund	6	712	Light_fraction	Nov 22	97.38	12.402	12.043	9.134	7.93	301.152	19																	0	0		0.858172035	0.999564224	1.869518941	0.29456706	
MGH1	191	20	Meedem Grund	6	712	Heavy_fraction	Nov 22	97.38	12.402	12.043	9.134	7.93	301.152	59	3.407	1.054	11.49	0.634	0.059	0.01	0.463		0.04	56.125							283.6637332	956.6469898	-9.658370163	1.18023202	1.792931505	1.832207113	0.29456706	
MGH2	192	11	Meedem Grund	6	712	Heavy_fraction	Nov 22	97.38	12.402	12.043	9.134	7.93	301.152	59																	0	0		1.287258052	1.377591951	2.678596466	0.29456706	
MGF1	193	6.5	Meedem Grund	6	712	Free_living	Nov 22	97.38	12.402	12.043	9.134	7.93	301.152		3.407	1.054	11.49	0.634	0.059	0.01	0.463		0.04	56.125							283.6637332	956.6469898						
MGF2	194	0.633	Meedem Grund	6	712	Free_living	Nov 22	97.38	12.402	12.043	9.134	7.93	301.152																		0	0						
TL1	195	134	Twielenfleth	3	651	Light_fraction	Nov 22	82.959	0.532	0.532	51.959	7.659	271.986	138	5.546	1.755	13.1	2.917	0.028	0.001	1.65		0.04	68.418							461.7549352	1090.694131	3.465054717	4.76216747	6.093610581	2.806242192	0.78551216	
TL2	196	152	Twielenfleth	3	651	Light_fraction	Nov 22	82.959	0.532	0.532	51.959	7.659	271.986	138																	0	0		5.100919589	5.986584549	2.642266528	0.88370118	
TH1	197	8.5	Twielenfleth	3	651	Heavy_fraction	Nov 22	82.959	0.532	0.532	51.959	7.659	271.986	358	5.546	1.755	13.1	2.917	0.028	0.001	1.65		0.04	68.418							461.7549352	1090.694131	4.446444681	11.31824834	14.09994327	3.347263692	2.4547255	
TH2	198	149	Twielenfleth	3	651	Heavy_fraction	Nov 22	82.959	0.532	0.532	51.959	7.659	271.986	358																	0	0						
TF1	199	0.276	Twielenfleth	3	651	Free_living	Nov 22	82.959	0.532	0.532	51.959	7.659	271.986		5.546	1.755	13.1	2.917	0.028	0.001	1.65		0.04	68.418							461.7549352	1090.694131						
TF2	200	0.353	Twielenfleth	3	651	Free_living	Nov 22	82.959	0.532	0.532	51.959	7.659	271.986																		0	0						
BbL1	201	14	Brunsbuttel	5	694	Light_fraction	Nov 22	96.742	9.221	9.221	10.794	7.91	304.052	35	3.636	1.351	10.78	1.267	0.042	0.01	0.69		0.04	58.136							302.7300657	897.533033	-14.04176833	1.146847754	1.331443111	2.556842081	0.39275608	
BbL2	202	28	Brunsbuttel	5	694	Light_fraction	Nov 22	96.742	9.221	9.221	10.794	7.91	304.052	35																	0	0		1.155684765	0	1.258783236	0.39275608	
BbH1	203	34	Brunsbuttel	5	694	Heavy_fraction	Nov 22	96.742	9.221	9.221	10.794	7.91	304.052	38	3.636	1.351	10.78	1.267	0.042	0.01	0.69		0.04	58.136							302.7300657	897.533033	1.476852403	1.420795119	1.535676273	2.512657022	0.29456706	
BbH2	204	20	Brunsbuttel	5	694	Heavy_fraction	Nov 22	96.742	9.221	9.221	10.794	7.91	304.052	38																	0	0		1.403121096	1.738927544	2.876938286	0.29456706	
BbF1	205	2.65	Brunsbuttel	5	694	Free_living	Nov 22	96.742	9.221	9.221	10.794	7.91	304.052		3.636	1.351	10.78	1.267	0.042	0.01	0.69		0.04	58.136							302.7300657	897.533033						
